session_id,tool_count,opener_pattern,unique_tools,most_repeated
1231acfd-2a3c-4ce0-8550-53c10b8ca419,161,Bash→Read→Bash→Bash→Glob,7,Edit
d0a45b53-50d4-434d-bf30-c2870f05b5de,20,Bash→Read→Bash→Bash→Bash,4,Bash
080485c1-422b-4475-9f1e-7ec7d016ea40,96,Bash→Bash→Bash→Bash→Agent,8,Bash
3f0466ae-51cc-499c-9811-0a9fe7f35c95,130,Bash→Bash→ToolSearch→TodoWrite→WebSearch,8,Bash
b52f3db0-1e8a-4470-904e-dd6b34a403e2,26,Bash→Bash→Write→Write→Write,4,Write
fd96106e-6879-4de5-b7fd-3d4810a99613,17,Bash→Read→Read→Read→Glob,5,Read
73073729-167b-4a68-8df0-656954d33307,4,Bash→Bash→Read→Agent,3,Bash
e751cc2d-4d52-4090-a9e0-373cac414be6,432,Agent→Write→Agent→Read→Glob,9,Edit
f04bc85d-5b8a-494a-8ce2-7edfb8db8722,1446,Bash→Bash→Bash→Bash→Bash,12,Bash
603427c4-78eb-417e-a0d2-4c3d2ce26981,197,Bash→Agent→Agent→ToolSearch→TodoWrite,8,Bash
33a37b59-5f7d-47d4-9056-116df35a2cca,584,Bash→Bash→Bash→Bash→Bash,10,Bash
6645be63-c299-4b9c-8a5d-c488eec5f9e8,43,Glob→Glob→Glob→Glob→Read,3,Read
8a192924-b7be-4d2f-b626-3823448ec11f,18,Glob→Glob→Glob→Glob→Bash,4,Read
a3d5039f-5e32-4718-b2e0-20414b014106,30,Glob→Glob→Read→Read→Read,6,Read
31dbe3fe-b5a9-45fe-bf73-59c73b51ac8c,37,Glob→Glob→Glob→Bash→Glob,7,Write
43b91ee9-d444-4236-b38f-428fe0c9736e,7,Bash→Bash→Bash→Bash→Bash,1,Bash
40e6a901-1c53-4461-874b-13701352246b,16,Glob→Glob→Read→Read→Read,4,Read
bb99388e-51da-46a4-9b06-7154cba7a009,41,Glob→Glob→Glob→Glob→Read,3,Read
c7c1d89b-5021-41c5-aa48-ee713fea9767,18,Glob→Glob→Glob→Glob→Glob,3,Read
f0a365f2-5403-489e-8455-70fbffd56f2e,29,Glob→Glob→Read→Read→Read,5,Read
fa502aa0-6287-4887-8365-f49b4e464ce9,21,Bash→Bash→Agent→Agent→Bash,3,Write
957ea5a9-2c68-4876-b7da-f237a7f73ab5,17,Glob→Glob→Glob→Glob→Bash,3,Read
e12b788a-e9a4-4461-af57-399a188065f5,40,Glob→Glob→Glob→Glob→Read,3,Read
0acc82a0-e3e0-46a0-b3ee-de18bc21e7a4,17,Glob→Glob→Glob→Glob→Glob,2,Read
bf25e1d4-4aec-4f0a-b584-a8bbdc4e2691,41,Glob→Glob→Glob→Glob→Read,3,Read
d6563157-92ea-43e1-a055-13388db5395a,30,Glob→Glob→Read→Read→Read,6,Write
f792884b-0202-4ba4-9886-cb4919719adb,19,Bash→Bash→Bash→Bash→Write,2,Write
fff679af-d6e5-42a2-a8fd-2bf30c5e3447,15,Glob→Glob→Read→Read→Read,4,Read
71d1b2c1-ff9a-45c3-ba13-0c891c240127,56,Glob→Glob→Glob→Glob→Read,5,Read
7f6b60ad-4d2d-41e3-8f55-6e8c67092b3c,27,Glob→Glob→Read→Read→Read,4,Read
c051c7c7-3448-4092-8749-ce22f00102c8,18,Glob→Glob→Glob→Glob→Glob,2,Read
2c3f9e1b-c545-41d9-b296-4d0a60d9b7d2,28,Glob→Glob→Read→Read→Read,5,Read
4456dc37-5f6c-470f-852a-70474e909840,41,Glob→Glob→Glob→Glob→Read,3,Read
a78b73a4-e578-4110-9cea-8d2bdc9481ff,15,Glob→Glob→Glob→Glob→Glob,4,Read
be58aef6-0433-40e5-a4f3-41092e1d96bf,34,Glob→Bash→Glob→Read→Read,4,Read
f195df7e-cf32-494e-b986-beb75d1e5130,15,Glob→Glob→Read→Read→Read,3,Read
6812b62d-efa8-41f0-8bf1-3ad8ed9a74d1,28,Bash→Bash→Bash→ToolSearch→WebSearch,4,Write
f01eaa1b-9547-4a04-82f1-a6d4ffb14952,20,Write→Read→Edit→Bash→Bash,4,Bash
224bd10b-1696-4229-98de-d6def1a50225,25,Agent→Agent→Bash→Bash→Read,6,Bash
818f29eb-1aa3-497f-9c3e-0b5dde0c50b9,56,Agent→Read→Bash→Bash→Bash,5,Bash
e8c4860f-09c4-4c76-b29d-9c156cc31214,88,Bash→Bash→Write→Bash→Bash,7,Bash
6fe47ff7-23ec-4b91-a81b-bf077aedaab1,102,Bash→Bash→Bash→Bash→Bash,6,Bash
28c666e9-039b-4de6-b3e4-f5fbc0df9862,236,Bash→Read→Agent→Bash→Write,10,Bash
7592a438-b3fc-4ea0-95c2-198b62f51d16,904,Glob→Glob→Agent→Bash→Read,14,Bash
ecc34ff0-dc1f-4bdc-9afb-c32ff862f85c,148,Agent→Read→Read→Read→Read,6,Edit
608afec7-9b59-4b4b-8f51-2d0c8d31de57,56,Glob→Glob→Glob→Read→Read,5,Edit
c7c2dd21-4daf-4add-a98e-180b7e821591,20,Glob→Read→Read→Read→Read,4,Read
f9cfa713-6d8b-4ba7-94b4-b5e4ab990a8e,155,Glob→Read→Bash→Bash→Read,8,Read
10ca50f4-f876-4d92-ab82-16779d05da6b,33,Glob→Glob→Glob→Bash→Bash,4,Bash
