commit_hash,commit_timestamp,commit_subject,commit_author,repo,session_id,session_project,additions,deletions,files_changed
72de19effd9a,2026-03-21T18:28:00Z,chore: apply Claude setup improvements,Claude,TREE_OF_THOUGHT,0091baab-1691-4945-94d1-02a2ab7691fa,FEM,47,0,1
56076edd48ab,2026-03-21T18:09:15Z,docs: add commands quick reference guide (59 commands),Claude,TREE_OF_THOUGHT,0091baab-1691-4945-94d1-02a2ab7691fa,FEM,159,0,1
04d7eeb16fb1,2026-03-21T17:23:08Z,docs: add repo and fork assessment with setup recommendations,Claude,TREE_OF_THOUGHT,0091baab-1691-4945-94d1-02a2ab7691fa,FEM,194,0,1
4e7773c2ce18,2026-03-21T16:28:00Z,docs: add repo evaluation vs current setup comparison,Claude,TREE_OF_THOUGHT,0091baab-1691-4945-94d1-02a2ab7691fa,FEM,122,0,1
a3fc90f7ac28,2026-03-28T19:58:55-04:00,Merge pull request #964 from affaan-m/fix/claude-hooks-settings-merge-safe,Affaan Mustafa,TREE_OF_THOUGHT,,,0,0,0
55efeb7f20a2,2026-03-28T19:58:04-04:00,Merge pull request #987 from dagecko/runner-guard/fix-ci-security,Affaan Mustafa,TREE_OF_THOUGHT,,,0,0,0
1e7c29970601,2026-03-28T19:57:22-04:00,Merge pull request #972 from Lidang-Jiang/fix/observer-windows-temp-files,Affaan Mustafa,TREE_OF_THOUGHT,,,0,0,0
47aa415b06f3,2026-03-28T19:55:28-04:00,fix(installer): validate hooks and settings before install,Affaan Mustafa,TREE_OF_THOUGHT,,,0,0,0
d7e6bb242aed,2026-03-27T07:59:19-04:00,fix(installer): reject invalid claude settings roots,Affaan Mustafa,TREE_OF_THOUGHT,,,0,0,0
9f37a5d8c76f,2026-03-27T07:52:03-04:00,fix(installer): preserve existing claude hook settings,Affaan Mustafa,TREE_OF_THOUGHT,,,0,0,0
d9ec51c9e959,2026-03-28T19:49:35-04:00,Merge pull request #932 from KT-lcz/readme,Affaan Mustafa,TREE_OF_THOUGHT,,,0,0,0
9033f2a99773,2026-03-28T19:46:45-04:00,Merge pull request #970 from seancheick/codex/context7-consistency,Affaan Mustafa,TREE_OF_THOUGHT,,,0,0,0
67660540ac94,2026-03-28T19:45:44-04:00,docs: use directory-level rule copy examples,Affaan Mustafa,TREE_OF_THOUGHT,,,0,0,0
432788d0b575,2026-03-27T13:53:17-04:00,fix: clean up legacy Context7 aliases on update,Sean Cheick Baradji,TREE_OF_THOUGHT,,,0,0,0
6a7a115e187d,2026-03-27T13:31:37-04:00,fix: normalize Codex Context7 naming,Sean Cheick Baradji,TREE_OF_THOUGHT,,,0,0,0
1181d9349892,2026-03-28T19:42:50-04:00,Merge pull request #974 from Lidang-Jiang/fix/codex-sanity-check-persistent-instructions,Affaan Mustafa,TREE_OF_THOUGHT,,,0,0,0
80d6a89f1247,2026-03-28T19:42:39-04:00,Merge pull request #971 from Lidang-Jiang/fix/codex-mcp-startup-timeout,Affaan Mustafa,TREE_OF_THOUGHT,,,0,0,0
28a1fbc3f2e1,2026-03-28T15:57:55-04:00,"fix: pin 6 actions to commit SHA, extract 1 expression to env var",dagecko,TREE_OF_THOUGHT,,,0,0,0
4fcaaf8a89f2,2026-03-29T01:01:21+08:00,feat: add .trae directory with install/uninstall scripts,likzn,TREE_OF_THOUGHT,,,0,0,0
7a4cb8c57030,2026-03-28T23:32:44+08:00,fix(observer): clean up prompt_file early and fix test for analysis_relpath,Lidang-Jiang,TREE_OF_THOUGHT,,,0,0,0
4b4f077d18a4,2026-03-28T11:00:28-04:00,fix(codex): allow indented persistent_instructions,Affaan Mustafa,TREE_OF_THOUGHT,,,0,0,0
78c98dd4fdd6,2026-03-28T10:59:23-04:00,fix(codex): reuse shared MCP startup timeout constant,Affaan Mustafa,TREE_OF_THOUGHT,,,0,0,0
f07797533d86,2026-03-28T09:13:18-04:00,Merge pull request #931 from KT-lcz/main,Affaan Mustafa,TREE_OF_THOUGHT,,,0,0,0
87d883eb1bc6,2026-03-28T09:12:38-04:00,Merge pull request #963 from affaan-m/fix/install-show-help-on-error,Affaan Mustafa,TREE_OF_THOUGHT,,,0,0,0
652f87c5b637,2026-03-27T07:49:30-04:00,fix(installer): tighten error help spacing,Affaan Mustafa,TREE_OF_THOUGHT,,,0,0,0
70b65a9d0684,2026-03-27T06:36:16-04:00,fix: tighten installer error spacing,Affaan Mustafa,TREE_OF_THOUGHT,,,0,0,0
24674a7bd620,2026-03-26T18:18:45+05:30,fix(installer): write error and help text to stderr for consistent stream output,Prabith Balagopalan,TREE_OF_THOUGHT,,,0,0,0
d49c95a5ec65,2026-03-26T17:49:04+05:30,fix(installer): show help text on error and document --profile full in README,Prabith Balagopalan,TREE_OF_THOUGHT,,,0,0,0
70a96bd3638b,2026-03-28T09:09:59-04:00,Merge pull request #977 from Lidang-Jiang/fix/cli-homedir-windows-fallback,Affaan Mustafa,TREE_OF_THOUGHT,,,0,0,0
8f7445a260a5,2026-03-28T09:09:44-04:00,Merge pull request #976 from ymdvsymd/fix/ci-pnpm-yarn-compat-v2,Affaan Mustafa,TREE_OF_THOUGHT,,,0,0,0
9ad4351f5314,2026-03-28T11:38:38+08:00,fix(codex): align context7-mcp package specifier with config.toml,Lidang-Jiang,TREE_OF_THOUGHT,3af0bd3c-a766-40d2-9725-6e6b7534d95f,FEM,1,1,1
451732164fa9,2026-03-28T11:38:10+08:00,fix(observer): clean up temp files on cd failure early return,Lidang-Jiang,TREE_OF_THOUGHT,3af0bd3c-a766-40d2-9725-6e6b7534d95f,FEM,1,1,1
ebd14cde7d35,2026-03-28T11:37:36+08:00,fix(codex): allow leading whitespace in persistent_instructions regex,Lidang-Jiang,TREE_OF_THOUGHT,3af0bd3c-a766-40d2-9725-6e6b7534d95f,FEM,1,1,1
ae21a8df8547,2026-03-28T11:28:12+08:00,fix(scripts): add os.homedir() fallback for Windows compatibility,Lidang-Jiang,TREE_OF_THOUGHT,3af0bd3c-a766-40d2-9725-6e6b7534d95f,FEM,20,11,9
d8e3b9d59346,2026-03-28T12:23:50+09:00,fix(ci): remove --ignore-engines for Yarn Berry (v4+),to.watanabe,TREE_OF_THOUGHT,3af0bd3c-a766-40d2-9725-6e6b7534d95f,FEM,4,3,2
7148d9006f27,2026-03-28T12:21:00+09:00,fix(ci): enable Corepack for yarn and relax pnpm strict mode,to.watanabe,TREE_OF_THOUGHT,3af0bd3c-a766-40d2-9725-6e6b7534d95f,FEM,24,2,2
c14765e701c6,2026-03-28T10:59:19+08:00,fix(codex): add persistent_instructions to baseline and relax sanity check,Lidang-Jiang,TREE_OF_THOUGHT,3af0bd3c-a766-40d2-9725-6e6b7534d95f,FEM,11,2,2
194bc0000b88,2026-03-28T10:45:41+08:00,fix(observer): guard cd failure with early return and log message,Lidang-Jiang,TREE_OF_THOUGHT,3af0bd3c-a766-40d2-9725-6e6b7534d95f,FEM,1,1,1
1e4447545856,2026-03-28T10:36:04+08:00,fix(codex): sync startup_timeout_sec into merge-mcp-config.js ECC_SERVERS,Lidang-Jiang,TREE_OF_THOUGHT,3af0bd3c-a766-40d2-9725-6e6b7534d95f,FEM,6,6,1
31af1adcc842,2026-03-28T10:34:40+08:00,fix(observer): anchor CWD to PROJECT_DIR before Claude invocation,Lidang-Jiang,TREE_OF_THOUGHT,3af0bd3c-a766-40d2-9725-6e6b7534d95f,FEM,4,0,1
c80631fc1d6e,2026-03-28T09:54:35+08:00,fix(observer): improve Windows compatibility for temp files and Haiku prompt,Lidang-Jiang,TREE_OF_THOUGHT,,,0,0,0
00f8628b8372,2026-03-28T09:52:17+08:00,fix(codex): add startup_timeout_sec to MCP servers to prevent first-run timeouts,Lidang-Jiang,TREE_OF_THOUGHT,,,0,0,0
ba09a3443240,2026-03-27T07:57:07-04:00,docs: renumber ecc2 analysis recommendations,Affaan Mustafa,TREE_OF_THOUGHT,,,0,0,0
27e0d53f6df3,2026-03-27T06:35:21-04:00,docs: resolve ecc2 analysis review nits,Affaan Mustafa,TREE_OF_THOUGHT,,,0,0,0
8b6140dedca3,2026-03-27T06:25:02-04:00,Merge pull request #956 from tae1344/fix/ajv-runtime-dependency,Affaan Mustafa,TREE_OF_THOUGHT,,,0,0,0
7633386e04d9,2026-03-27T06:00:05-04:00,Merge pull request #878 from affaan-m/feat/install-catalog-project-config,Affaan Mustafa,TREE_OF_THOUGHT,,,0,0,0
b4296c70959b,2026-03-24T03:53:45-07:00,feat: add install catalog and project config autodetection,Affaan Mustafa,TREE_OF_THOUGHT,0091baab-1691-4945-94d1-02a2ab7691fa,FEM,496,6,11
17f6f9509031,2026-03-27T16:44:11+09:00,fix(ck): address Greptile + CodeRabbit review bugs,Sreedhara GS,TREE_OF_THOUGHT,,,0,0,0
1e226ba55690,2026-03-27T16:30:39+09:00,"feat(skill): ck — context-keeper v2, persistent per-project memory",Sreedhara GS,TREE_OF_THOUGHT,,,0,0,0
cc60bf6b65cb,2026-03-27T02:47:13-04:00,Merge pull request #947 from chris-yyau/fix/shell-script-permissions,Affaan Mustafa,TREE_OF_THOUGHT,f01eaa1b-9547-4a04-82f1-a6d4ffb14952,TREE,0,0,0
160624d0ed54,2026-03-27T02:46:42-04:00,Merge branch 'main' into fix/shell-script-permissions,Affaan Mustafa,TREE_OF_THOUGHT,f01eaa1b-9547-4a04-82f1-a6d4ffb14952,TREE,0,0,0
73c10122fe43,2026-03-27T02:46:29-04:00,Merge pull request #938 from affaan-m/dependabot/npm_and_yarn/npm_and_yarn-3f9ee708be,Affaan Mustafa,TREE_OF_THOUGHT,f01eaa1b-9547-4a04-82f1-a6d4ffb14952,TREE,0,0,0
9b24bedf856f,2026-03-27T04:02:44Z,"fix: address Greptile review — frontmatter, CI safety, null guards",Dr. Keyur Patel,TREE_OF_THOUGHT,,,0,0,0
e3f2bda9fcdb,2026-03-27T03:54:20Z,fix: address all CodeRabbit + Cubic review comments on PR #955,Dr. Keyur Patel,TREE_OF_THOUGHT,,,0,0,0
fe6a6fc10639,2026-03-27T12:18:44+09:00,fix: move ajv to dependencies and add .yarnrc.yml for node-modules linker,tae1344,TREE_OF_THOUGHT,,,0,0,0
63737544a18a,2026-03-27T03:17:49Z,feat: add healthcare domain skills and agent,Dr. Keyur Patel,TREE_OF_THOUGHT,,,0,0,0
dafc9bcd6049,2026-03-26T17:35:00-04:00,Update research/ecc2-codebase-analysis.md,Anurag Saxena,TREE_OF_THOUGHT,,,0,0,0
2d0fddf174d3,2026-03-26T17:34:50-04:00,Update research/ecc2-codebase-analysis.md,Anurag Saxena,TREE_OF_THOUGHT,,,0,0,0
f471f27658cd,2026-03-26T17:31:09-04:00,"fix: address CodeRabbit review — dependency versions, risk wording, style, security audit rec",anuragg-saxenaa,TREE_OF_THOUGHT,,,0,0,0
925d830c53b1,2026-03-26T16:20:57Z,docs: add ECC2 codebase analysis research report,Toast (gastown),TREE_OF_THOUGHT,,,0,0,0
2243f155812c,2026-03-26T22:14:51+08:00,fix: add execute permissions to codex sync shell scripts,Chris Yau,TREE_OF_THOUGHT,,,0,0,0
6408511611d6,2026-03-26T12:04:05Z,chore(deps-dev): bump picomatch,dependabot[bot],TREE_OF_THOUGHT,,,0,0,0
9348751b8eb6,2026-03-26T17:07:47+08:00,docs: fix rule installation examples,lichangze,TREE_OF_THOUGHT,112b6919-d52d-4bb4-82e1-121ead726a08,FEM,31,26,2
c96c4d274285,2026-03-26T16:42:08+08:00,docs: clarify multi-model command setup,lichangze,TREE_OF_THOUGHT,112b6919-d52d-4bb4-82e1-121ead726a08,FEM,28,0,2
da74f85c10c5,2026-03-26T04:37:08Z,fix: address review feedback from PR #929,xingzihai,TREE_OF_THOUGHT,112b6919-d52d-4bb4-82e1-121ead726a08,FEM,57,18,15
c146fae2ceec,2026-03-26T02:28:02Z,docs: add comprehensive Skill Development Guide,xingzihai,TREE_OF_THOUGHT,112b6919-d52d-4bb4-82e1-121ead726a08,FEM,949,12,2
3f5e042b40a9,2026-03-26T01:38:39Z,feat: add Chinese (zh-CN) translation for rules/common,xingzihai,TREE_OF_THOUGHT,112b6919-d52d-4bb4-82e1-121ead726a08,FEM,552,0,11
b5148f184ae4,2026-03-26T00:59:46Z,feat(rules): add code-review.md rule to common rules,xingzihai,TREE_OF_THOUGHT,,,0,0,0
b44ba7096ffb,2026-03-26T00:28:26Z,feat(hooks): add pre-commit quality check hook,xingzihai,TREE_OF_THOUGHT,,,0,0,0
45baaa1ea5fa,2026-03-25T22:36:45+01:00,feat(skills): add laravel-plugin-discovery skill with LaraPlugins MCP,Daniel Petrica,TREE_OF_THOUGHT,,,0,0,0
4da1fb388c29,2026-03-25T22:02:20+01:00,Update skills/token-budget-advisor/SKILL.md,Xabilimon,TREE_OF_THOUGHT,,,0,0,0
